group1,group2,bothTest,bothTrain
2007660,2295650,2,60
2007660,2297650,0,72
2007660,2301650,5,61
2007660,2305651,0,72
2007660,2307650,6,56
2007660,2309650,0,72
2007660,2313680,7,58
2007660,2315650,0,72
2007660,2321650,4,59
2007660,2325660,0,72
2007660,2327650,4,60
2007660,2329650,0,72
2007660,2335650,6,62
2007660,2337650,0,72
2007660,2339651,11,56
2007660,2341650,0,72
2007660,2343650,4,58
2007660,2349653,0,72
2007660,2353670,4,53
2007660,2355653,0,72
2007660,2359650,5,56
2007660,2365651,0,72
2007660,2367650,4,62
2007660,2373690,0,72
2007660,2375650,6,55
2007660,2379653,0,72
2007660,2389650,4,56
2007660,2393650,0,72
2007660,2395670,7,54
2007660,2399670,0,72
2007660,2405680,8,56
2007660,2409670,0,72
2007660,2411660,5,62
2007660,2413660,0,72
2007660,2419660,5,55
2007660,2421651,0,72
2007660,2427660,7,61
2007660,2431660,0,72
2007660,2433650,1,53
2007660,2435680,0,72
2007660,2437680,4,59
2007660,2447651,0,72
2007660,2449650,4,54
2007660,2453653,0,72
2007660,2455650,3,56
2007660,2457670,0,72
2007660,2461651,4,65
2007660,2463651,0,72
2007660,2465680,5,62
2007660,2471651,0,72
2007660,2473660,6,57
2007660,2475653,0,72
2007660,2487651,3,59
2007660,2491670,0,72
2007660,2493651,3,59
2007660,2495653,0,72
2007660,2499660,6,55
2007660,2503650,0,72
2007660,2505651,7,56
2007660,2507651,0,72
2007660,2511650,6,59
2007660,2513680,0,72
2007660,2517650,8,53
2007660,2519650,0,72
2007660,2523653,5,54
2007660,2525651,0,72
2007660,2527670,3,53
2007660,2529680,0,72
2007660,2531651,4,60
